sample,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI†,Total,Mg#,Ba,Rb,Th,Nb,Sr,Zr,Y,Pb,U,V,Cr,Co,Ni,Cu,Zn,Ga
09HU-4,50.1,1,15.1,11.7,0.2,8.3,11.5,2.1,0.4,0.1,0.7,100.4,79,141,9,,3,230,61,18,4,1,226,366,65,157,130,68,17
09PL5,46.9,0.9,15,11.8,0.2,11.5,10.6,2.1,0.4,0.1,0.4,99.4,83,118,7,1,2,158,71,24,1,1,203,711,88,398,98,73,16
09SA-15a,47.1,3.5,14.3,14.1,0.2,5.7,9.8,2.8,1.5,0.5,0.9,99.4,67,360,114,2,38,398,238,31,8,2,404,18,59,38,117,176,25
09SANC-8,47.8,2.3,18.6,11.6,0.2,5,8.5,3.8,0.8,0.4,1.4,99,69,295,17,1,9,600,134,23,11,1,229,90,77,,30,82,19
09SR3,48.6,0.9,16.7,11.7,0.2,8.6,10.6,2.2,0.5,0.1,0.3,100.1,79,198,9,1,,174,17,23,1,1,185,170,79,260,105,75,17
09SR-6m,47.7,2.8,16.6,13.6,0.2,6.6,8,3,1.4,0.5,1.64,100.3,72,,,,,,,,,,,,,,,,
09SR6t,46.6,2.7,16.7,14.2,0.2,6.7,7.9,3.4,0.8,0.5,1.5,99.6,71,358,15,1,10,510,133,26,11,1,262,1,84,21,40,113,19
34701,48.7,1.1,16.2,12.4,0.2,7.9,10.6,2.3,0.5,0.2,0.6,99.9,77,220,11,1,3,179,92,26,2,1,218,288,70,121,111,80,18
B1,46.6,1.3,17,12.5,0.2,8,10.1,2.9,0.4,0.2,1.2,99.2,77,,10,,1,278,70,24,,,,76,71,185,120,97,14
B7,46.8,1.3,17.2,12.5,0.2,8.2,10.1,2.7,0.4,0.2,0.9,99.5,77,,13,,2,276,69,24,,,,78,75,197,116,90,19
03BM88,48.1,1.1,17.4,12,0.2,7.4,10,2.6,0.6,0.2,1.82,99.6,76,270,28,,4,302,91,28,2,1,214,68,70,197,100,74,17