contact,sample,name,SiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,H2O+,H2O-,CO2,Total
upper,HN7,Hance sill,44.6,14.84,2.44,8.15,6.94,13.64,1.87,1.37,1.89,0.48,0.55,2.85,0.38,0.12,100.12
lower,CC13,Clear Creek sill,47,16.1,3.31,7.46,6.12,8.78,2.72,1.1,2.3,0.33,0.13,2.42,0.53,2.08,100.38
upper,BA5,Bright Angel sill,47.1,16.93,2.78,6.62,8.7,7.74,2.89,1,2.23,0.35,0.13,2.67,0.73,0.51,100.38
upper,CR12,Crystal Creek sill,43.2,16.49,2.78,5.74,8.89,4.87,2.83,3.04,2.51,0.39,0.14,4.17,0.69,4.53,100.27
lower,SH17,Shinumo Creek sill,45.5,16.49,5.48,6.03,7.33,4.87,3.28,1.91,2.59,0.4,0.14,3.71,0.97,1.72,100.42
upper,TP4,Tapeats Creek sill,48,15.72,4.04,7.6,6.16,8.48,3.85,1.07,2.64,0.41,0.21,1.05,0.53,0.12,99.88
dike,Tid1,Unkar dike,46.6,16.7,13.6,0.5,2.8,7.5,2.8,2.2,1.62,0.51,0.09,1.57,0.47,2.83,99.8
dike,Tid2,Unkar dike,48.1,16.1,10.9,2.88,5.1,5.9,2.7,1.9,1.67,0.51,0.09,1.99,0.56,1.49,99.9
0,dike,dike,66.1,14.9,3.38,0.5,3.2,0.66,1.42,7.66,0.65,0.18,0.02,1.38,0.32,0.02,100.39
3.7,dike,dike,65.7,15.6,2.94,0.6,3.08,0.52,1.02,7.89,0.61,0.18,0.02,1.52,0.34,0.02,100.04
5.8,dike,dike,57.2,15.6,5.53,3.12,5.15,1.03,3.11,5.38,0.98,0.5,0.05,2.61,0.33,0.09,100.68
6.1,dike,dike,48.1,13.7,7.4,7.16,7.72,2.95,3.91,0.87,3.4,0.63,0.1,3.55,0.77,0.1,100.36
7.9,dike,dike,47.5,14,6.3,7.25,7,5.2,4.4,1.3,3.04,0.41,0.25,2.37,0.37,0.08,99.47
13.7,dike,dike,45.9,18.3,5.05,4.82,10.02,2.36,2.55,2.54,1.88,0.28,0.11,4.96,1.81,0.06,100.64
21.3,dike,dike,47.6,17.2,4.13,6.3,7.72,5.24,3.4,2.14,2.24,0.25,0.18,3.33,0.81,0.06,100.6
36.6,dike,dike,47.2,17.9,2.25,7.07,9.09,9,2.43,1.2,1.34,0.19,0.16,3.33,0.81,0.06,102.03
51.8,dike,dike,46.8,19.2,1.7,5.81,9.28,9.59,2.43,1.2,1.03,0.17,0.12,2.47,0.34,0.02,100.16
67.1,dike,dike,47,18.9,2.4,6.66,7.9,9.78,2.27,1,1.48,0.23,0.15,2.29,0.29,0.1,100.45
83.8,dike,dike,47.7,18.1,3.73,6.55,7.76,5.75,2.26,1.81,1.84,0.29,0.26,3.13,0.9,0.13,100.21
basalt,Tb1,Cardenas Basalt,56.3,13.2,6.6,3.83,6.9,1.4,5.9,0.2,1.1,0.21,0.1,3.32,0.9,0.36,100.32
basalt,Tb2,Cardenas Basalt,52.3,14.3,7.1,7.29,4.4,2.5,4.3,2.7,1.36,0.09,0.12,2.33,0.94,0.24,99.97
basalt,Tb2a,Cardenas Basalt,54.5,13.1,7.4,7.43,3.5,3.9,3.6,3,1.48,0.25,0.16,1.62,0.57,0.18,100.69
basalt,Tb3,Cardenas Basalt,52.1,13.6,8.7,4.98,6.3,2,4.1,2.2,1.55,0.24,0.1,3.36,1.29,0.18,100.7
basalt,Tb4,Cardenas Basalt,52.1,12.3,6.2,8.51,5,4.9,4.2,2.6,1.56,0.26,0.17,1.89,0.5,0.18,100.37
basalt,Tb5,Cardenas Basalt,49,13.9,6.5,8.01,6.6,5.9,3.3,1.8,1.52,0.29,0.15,2.07,0.89,0.18,100.11
basalt,Tb6,Cardenas Basalt,53.5,14.5,11.2,3.31,3.3,4.1,2.9,2.3,1.52,0.28,0.11,1.86,1.16,0.25,100.29
basalt,Tb7,Cardenas Basalt,53.2,13.6,10.6,4.5,2.7,4.8,3.3,2.9,1.57,0.34,0.15,1.3,0.91,0.31,100.18
basalt,Tb7b,Cardenas Basalt,55.3,12.1,12.2,3.04,2.3,5.2,2.9,2.4,1.59,0.36,0.15,0.99,1.11,0.18,99.82