thickness,grain size,lithology,structure
2,VF,sandstone,
0.3,F,sandstone,ripple
0.7,cover,cover,
1.8,VF,sandstone,
0.8,C,basalt,
6.7,C,basalt,
1,C,basalt,
0.5,M,vesicular basalt,many vesicles
0.2,cover,cover,
1.1,VF,sandstone,
0.1,F,sandstone,
1.5,VF,sandstone,
1.8,F,sandstone,ripple
0.7,C,basalt,
13.5,C,basalt,
6,C,basalt,
1.2,C,vesicular basalt,many vesicles; flow top
0.7,VF,sandstone,
0.2,VF,sandstone,
0.4,C,basalt,
4.5,C,basalt,
2.1,C,basalt,
6.1,M,vesicular basalt,many vesicles; flow top
1.5,C,basalt,
1.7,C,basalt,
1.2,cover,cover,flow top
0.7,VF,sandstone,ripple
0.8,C,basalt,
21.4,C,basalt,
3.4,C,basalt,
3,C,basalt,
4.1,M,vesicular basalt,many vesicles; flow top
1.7,VF,sandstone,ripple
0.2,F,sandstone,
1.4,VF,sandstone,
0.4,C,basalt,
39.4,C,basalt,
4.2,C,basalt,
2.3,M,vesicular basalt,many vesicles; flow top
1.3,C,basalt,
2.1,M,vesicular basalt,many vesicles; flow top
0.6,VF,sandstone,
0.4,cover,cover,
2,C,basalt,
2.6,C,basalt,
2.4,M,vesicular basalt,many vesicles; flow top
0.2,C,basalt,
14.5,C,basalt,
6.2,C,basalt,
4.5,M,vesicular basalt,many vesicles; flow top
1.1,C,basalt,
21,C,basalt,
6,C,basalt,
2.5,M,vesicular basalt,many vesicles; flow top
0.6,VF,sandstone,
1.3,C,basalt,
9.4,C,basalt,
15,C,basalt,
1.2,M,vesicular basalt,many vesicles; flow top
4,M,volcaniclastic,
14.3,M,basalt,many vesicles; pillows
3,M,basalt,pillows; flow top
0.4,C,basalt,
2.6,C,basalt,
1.2,M,vesicular basalt,many vesicles; flow top
2.5,M,vesicular basalt,many vesicles; flow top
1.5,C,basalt,
0.5,M,vesicular basalt,many vesicles; flow top
8,F,sandstone,
40,C,basalt,
1,F,sandstone,Nankoweap